hypothesis,coin,feature,ret,train_ic,val_ic,test_ic,hold_ic,abs_val_ic,abs_hold_ic
H1_visibility,BTC,musk_max_views_8h_log,ret_8h,-0.0252038397512879,0.002326535509521072,0.012097948190642723,0.11893765796823626,0.002326535509521072,0.11893765796823626
H1_visibility,ETH,musk_max_views_8h_log,ret_8h,0.004429425182803833,0.0141783568196074,0.00786650701850074,0.09228540187533846,0.0141783568196074,0.09228540187533846
H1_visibility,SOL,musk_max_views_8h_log,ret_8h,-0.028431044437990275,0.0005697177486023891,0.030232064181415875,0.07773428376477565,0.0005697177486023891,0.07773428376477565
H1_visibility,DOGE,musk_max_views_8h_log,ret_8h,-0.03673146227147446,-0.014933417145928125,0.011355052398624726,0.11662650484853337,0.014933417145928125,0.11662650484853337
H2_engagement_quality,BTC,musk_weighted_engagement_4h_log,ret_4h,-0.03127173655913959,0.026117225096602695,0.02582484388973973,0.03447680421139671,0.026117225096602695,0.03447680421139671
H2_engagement_quality,ETH,musk_weighted_engagement_4h_log,ret_4h,-0.01233056579576708,0.04800239730503553,0.04735904325242579,0.02626447033244297,0.04800239730503553,0.02626447033244297
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,ret_4h,-0.008778200380426796,0.01227206395001256,0.05676207220142554,0.03914469010457053,0.01227206395001256,0.03914469010457053
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,ret_4h,-0.020798206771714425,0.018161149452728707,0.025481784131439634,0.03791028715718845,0.018161149452728707,0.03791028715718845
H3_coin_specific,BTC,musk_mentions_BTC_8h,ret_8h,0.011260618276727138,0.03845631349772411,0.06380672346121997,-0.021963798842152847,0.03845631349772411,0.021963798842152847
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,ret_8h,-0.013153929310372759,-0.04080878575124888,-0.020213621306601974,-0.015917499585366455,0.04080878575124888,0.015917499585366455
H4_accumulated_attention,BTC,musk_sum_views_24h_log,ret_24h,-0.01679675591901133,-0.013225479769730404,-0.028108878867018607,-0.13085498188686542,0.013225479769730404,0.13085498188686542
H4_accumulated_attention,BTC,musk_max_engagement_24h_log,ret_24h,-0.013826985184624177,-0.002212558807456692,-0.029377694786898157,-0.10952255839321849,0.002212558807456692,0.10952255839321849
H4_accumulated_attention,ETH,musk_sum_views_24h_log,ret_24h,0.0017637340398842017,-0.04587807642560564,-0.12345137110995043,-0.10199033750738451,0.04587807642560564,0.10199033750738451
H4_accumulated_attention,ETH,musk_max_engagement_24h_log,ret_24h,0.0007645286671592061,-0.04170583006541114,-0.07200448416833771,-0.08892984471780034,0.04170583006541114,0.08892984471780034
H4_accumulated_attention,SOL,musk_sum_views_24h_log,ret_24h,-0.03878046584533159,-0.07441638409873426,-0.09074589682947445,-0.08473772865582237,0.07441638409873426,0.08473772865582237
H4_accumulated_attention,SOL,musk_max_engagement_24h_log,ret_24h,-0.03973133876928008,-0.08221214574467801,-0.0005280501663804154,-0.13653715346286563,0.08221214574467801,0.13653715346286563
H4_accumulated_attention,DOGE,musk_sum_views_24h_log,ret_24h,-0.07398067569932106,-0.00021357022677905943,-0.04586812410419335,-0.07334157718080303,0.00021357022677905943,0.07334157718080303
H4_accumulated_attention,DOGE,musk_max_engagement_24h_log,ret_24h,-0.06858593842382442,0.013555970992144211,0.020938178975603638,-0.09304930071425008,0.013555970992144211,0.09304930071425008
